Parameter,Unit,Value,Comment
E-UTRA RF Channel Number,,1,
Channel Bandwidth (BWchannel),MHz,5 or 10,Note 5
Active cell,,Cell 1,E-UTRA FDD Cell1 on RF channel number 1
CP length of Cell 1,,Normal,
drx-Configuration,,DRX_P1,As specified in Table A.3.12.2-1
ProSe Direct Communication configuration,,As specified in Table A.3.12.5-1(Configuration #1),IE values unless specified otherwise in this test.
networkControlledSyncTx,,ON,Configured
PDCCH/PCFICH/PHICH Reference measurement channelNote1,,5 MHz: R.11 FDD10 MHz: R.6 FDD,
OCNG PatternNote2,,5 MHz: OP.16 FDD 10 MHz: OP.2 FDD,
PBCH_RA,dB,0,
PBCH_RB,,,
PSS_RA,,,
SSS_RA,,,
PCFICH_RB,,,
PHICH_RA,,,
PHICH_RB,,,
PDCCH_RA,,,
PDCCH_RB,,,
OCNG_RANote3,,,
OCNG_RBNote3,,,
,dBm/15 kHz,-98,
,dB,3,
RSRP Note4,dBm/15 kHz,-95,
SCH_RP Note 4,dBm/15 kHz,-95,
Propagation condition,,AWGN,
"Note 1:For the reference measurement channels, see clause A.3.1.Note 2:For the OCNG pattern, see clause A.3.2.Note 3:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 4:RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 5:This test is according to the principle defined in section A.3.12.3.",,,
