Parameter,Unit,Value,Comment
E-UTRA RF Channel Number,,2,UL carrier frequency
Channel Bandwidth (BWchannel),MHz,5,
ProSe Direct Discovery resource pool configuration,,As specified in Table A.3.12.4-5(Configuration #5),IE values unless specified otherwise in this test.Broadcasted in SIB19 by Cell 1 on RF channel 1
discInterFreqList/carrierFreq,,RF channel 2 (UL frequency),
freqInfo/ul-CarrierFreq,,RF channel 2 (UL frequency),
txParamsAddNeighFreq/physCellId,,{phyCellId of Cell 2},
discConfigOther/refCarrierCommon,,pCell,Configure UE to use pCell as reference for synchronization and measurements  for discovery transmission on non-serving carrier
discResourcesNonPS/discRxResourcesInterFreq,,Not configured,
discResourcesNonPS/discTxResourcesInterFreq/tf-ResourceConfig/subframeBitmap,,1111111100000000000000000000000000000000,
discRxGapConfig,,Not configured,Within SL-DiscConfig in RRC reconfiguration message
discTxGapConfig,,Configured as requested by UE in discTxGapReq,Within SL-DiscConfig in RRC connection reconfiguration message
