Parameter,,Unit,Value,Comment
Active cells,,,Cell 1 and cell 2,Cell 1 (PCell) is on E-UTRA RF channel number 1 and cell 2 (PSCell) is on E-UTRA RF channel number 2
CP length,,,Normal,
Antenna Configuration,,,1x2,
In sync transmission parameters(Note 1),DCI format,,1C,As defined in clause 5.3.3.1.4 in TS 36.212
,Number of Control OFDM symbols,,5MHz: 310MHz: 220MHz: 2,In sync threshold Qin and the corresponding hypothetical PDCCH/PCFICH transmission parameters are as specified in clause and Table 7.6.1-2 respectively.
,Aggregation level,CCE,4,
,"A, B",,0,
,Ratio of PDCCH to RS EPRE,,0,
,Ratio of PCFICH to RS EPRE,,4,
Out of sync transmission parameters(Note 1),DCI format,,1A,As defined in clause 5.3.3.1.3 in TS 36.212
,Number of Control OFDM symbols,,2,Out of sync threshold Qout and the corresponding hypothetical PDCCH/PCFICH transmission parameters are as specified in clause 7.6.1 and Table 7.6.1-1 respectively.
,Aggregation level,CCE,8,
,"A, B",,0,
,Ratio of PDCCH to RS EPRE,dB,4,
,Ratio of PCFICH to RS EPRE,dB,4,
DRX cycle in cell 1,,ms,640,See Table A.7.3.42.1-3
DRX cycle in cell 2,,ms,40,See Table A.7.3.42.1-3
Layer 3 filtering,,,Enabled,Counters:N310 = 1; N311 = 1;N313 = 1; N314 = 1
T310 timer,,ms,2000,T310 is enabled
T311 timer,,ms,1000,T311 is enabled
T313 timer,,ms,2000,T313 is enabled
Periodic CQI reporting mode,,,PUCCH 1-0,As defined in table 7.2.2-1 in TS 36.213.
CQI reporting periodicity,,ms,2,Minimum CQI reporting periodicity
T1,,s,4,
T2,,s,1.6,
T3,,s,1.46,
T4,,s,0.4,
T5,,s,4,
Note 1:PDCCH/PCFICH corresponding to the in-sync and out of sync transmission parameters need not be included in the Reference Measurement Channel.Note 2: The parameters in the table apply to both cell 1 and cell 2 unless defined otherwise.Note 3:Even a UE capable of both synchronous and asynchronous DC operations is required to pass this test case in accordance with the principle defined in section A.3.6.11.,,,,
