Field,,Cell 1,Cell 2,Comment
onDurationTimer,,psf1,psf1,
drx-InactivityTimer,,psf1,psf1,
drx-RetransmissionTimer,,psf1,psf1,
longDRX-CycleStartOffset,,sf80,sf80,
shortDRX,,disable,disable,
Note:For further information see clause 6.3.2 in TS 36.331.,,,,
