Parameter,Unit,Value
,,Test 1
E-UTRA RF Channel Number,,1
BWchannel,MHz,5 or 10
NOCNG Pattern,-,BWchannel 5MHz: NOP.4 FDDBWchannel 10MHz: NOP.1 FDD
PBCH_RA,dB,-3
PBCH_RB,,
PSS_RA,,
SSS_RA,,
PCFICH_RB,,
PHICH_RA,,
PHICH_RB,,
PDCCH_RA,,
PDCCH_RB,,
OCNG_RANote1,,
OCNG_RBNote1,,
,dBm/15 kHz,-98
,dB,4
Antenna configuration,,2x1
Propagation condition,-,AWGN
Note 1:OCNG shall be used such that the cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.,,
