Field,,Cell 1,Cell 2,Cell 3,Comment
onDurationTimer,,psf1,psf1,psf1,
drx-InactivityTimer,,psf1,psf1,psf1,
drx-RetransmissionTimer,,psf1,psf1,psf1,
longDRX-CycleStartOffset,,sf80,sf80,sf80,
shortDRX,,disable,disable,Disable,
Note 1:For further information see clause 6.3.2 in TS 36.331.,,,,,
