Parameter,Unit,Value,,Comment
,,Test 1,Test 2,
E-UTRA RF Channel Number,,1,,UL carrier frequency
Channel Bandwidth (BWchannel),MHz,5,,
ProSe Direct Discovery resource pool configuration,,As specified in Table A.3.12.4-1(Configuration #1),As specified in Table A.3.12.4-2(Configuration #2),IE values unless specified otherwise in this test.
Active Sidelink UEs Configuration,,PDP.1.FDD As specified in Table A.3.12.8.2-1,PDP.2.FDD As specified in Table A.3.12.8.2-1,Transmitting ProSe Direct Discovery (Test 1 and 2) and SLSS (for Test 2)
