Parameter,Unit,Value,Comment
E-UTRA RF Channel Number,,1,
Channel Bandwidth (BWchannel),MHz,5,
Active cell,,Cell 1,Serving E-UTRA FDD cell on RF channel number 1(Broadcasting SIB18 and SIB19)
Active Relay UEs,,"Relay UE 1, Relay UE 2",Transmitting relay discovery message
CP length of Cell 1,,Normal,
T1,ms,100,
T2,s,"Up to receiving RRC reconfiguration setup complete from the UE, or up to [1] sec if UE does not transmit SidelinkUEInformation during this period.",
T3,s,1,
T4,s,[2],
T5,s,1,
