Field,PSCell,Comment,
,Value,,
onDurationTimer,psf1,,
drx-InactivityTimer,psf1,,
drx-RetransmissionTimer,psf1,,
longDRX-CycleStartOffset,sf320,,
shortDRX,disable,,
Note:For further information see clause 6.3.2 in TS 36.331.,,,
