Field,Value,Comment
TimeAlignmentTimer,infinity,As specified in section 6.3.2 in 3GPP TS 36.331
sr-ConfigIndex,0,For further information see section 6.3.2 in 3GPP TS 36.331 and section10.1 in 3GPP TS 36.213.
