Parameter,Unit,Value
,,Test 1
NB-IoT Operation mode,,In-band
DRX,,OFF
NPRACH configuration,,NPRACH.R-1As specified in A.3.18
NPDCCH repetition level,,1
npdcch-StartSF-USS Note 1,,v8
npdcch-NumRepetitions-r13 Note 1,,r1
NPUSCH repetition level,,1
Note 1:For further information see clause 6.7.3.2 in TS 36.331 [2].,,
