Field,Value,Comment
,Test 2,
onDurationTimer,pp1,
drx-InactivityTimer,pp0,
drx-RetransmissionTimer,pp0,
longDRX-CycleStartOffset,sf2048,
shortDRX,disable,
Note 1:For further information see clause 6.7.3 in TS 36.331 [2].,,
