Parameter,Unit,Value,Comment
E-UTRA RF Channel Number,,"1, 2",RF channel 1 is servingRF channel 2 is non-serving
Channel Bandwidth (BWchannel),MHz,5 or 10,According to principle defined in clause A.3.12.3
Active cell,,Cell 1,Serving E-UTRA FDD cell on RF channel number 1(Not broadcasting SIB18)
Active SyncRef UEs,,SyncRef UE 1,Transmitting SLSS+MIB-SL on uplink of RF channel number 2
CP length of Cell 1,,Normal,
