,Slot and symbol number pairs,
,Normal cyclic prefix,Extended cyclic prefix
0,"(0,3), (1,4), (10,3), (11,0), (11,4)","(0,3), (10,3), (11,0)"
1,"(0,4), (1,5), (10,4), (11,1), (11,5)","(0,4), (10,4), (11,1)"
2,"(0,5), (10,5), (11.2)","(0,5), (10,5), (11.2)"
3,"(0,6), (10,6), (11.3)","(1,4), (11,3), (11.4)"
