,,Frame structure type 1,,Frame structure type 2,
,,,,,
4,0,0,4,1,5
,1,1,4,1,0
8,0,"0, 1",4,"0, 1",5
,1,"0, 1",9,"0, 1",0
16,0,"0, 1","4, 9","0, 1","0, 5"
,1,"0, 1","0, 9","0, 1","0, 5"
