l,"Slot and symbol number pair ns',l'",
,Normal cyclic prefix,Extended cyclic prefix
0,"(0, 4)",-
1,"(1, 4)","(0, 3)"
2,"(1, 5)","(1, 4)"
3,"(0, 3), (1, 6)","(1, 5)"
