Number of symbols used for PDCCH,Subslot index,Set of indicies of,,
,,DMRS based SPDCCH,CRS based SPDCCH,
,,,,
1 or 3,1,,,
2,1,,,
"1, 2 or 3",2,,,
"1, 2 or 3",3,,,
"1, 2 or 3",4,,,
"1, 2 or 3",5,,,
