,"Frame offset, slot and symbol number triplets",
,Normal cyclic prefix,Extended cyclic prefix
0,"(1,18,3), (1,19,0), (1,19,4), (0,0,4)","(1,18,3), (1,19,0), (1,19,5)"
1,"(1,18,4), (1,19,1). (1,19,5), (0,1,4)","(1,18,4), (1,19,1). (0,0,3)"
2,"(1,18,5), (1,19,2), (1,19,6), (0,1,5)","(1,18,5), (1,19,2), (0,1,4)"
3,"(1,18,6), (1,19,3), (0,0,3), (0,1,6)","(1,19,3), (1,19,4), (0,1,5)"
