Config,Description
1,"LTE FDD, With CCA: NR TDD, SSB SCS 30 kHz, data SCS 30 kHz, BW 40 MHz"
2,"LTE TDD, With CCA: NR TDD, SSB SCS 30 kHz, data SCS 30 kHz, BW 40 MHz"
NOTE 1:The UE is only required to be tested in one of the supported test configurationsNOTE 2:A UE which fulfils the requirements in test case A.10.3.5.2.2 can skip the test cases in A.10.3.5.2.1.NOTE 3:NR configuration is the same for PSCell and SCells.NOTE 4:The UE supporting EN-DC with only NR band(s) with shared spectrum access is required to be tested.,
