Configuration,Description
1,"PCC: LTE FDD duplex mode;With CCA: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode;With CCA: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
2,"PCC: LTE TDD duplex mode;With CCA: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode;With CCA: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
NOTE: The UE is only required to be tested in one of the supported test configurations,
