Config,Description
1,"E-UTRAN cell: LTE FDDNR cell without CCA: 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex mode NR cell with CCA: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
2,"E-UTRAN cell: LTE FDDNR cell without CCA: 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex modeNR cell with CCA: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
3,"E-UTRAN cell: LTE FDDNR cell without CCA: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex modeNR cell with CCA: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
4,"E-UTRAN cell: LTE TDDNR cell without CCA: 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex mode NR cell with CCA: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
5,"E-UTRAN cell: LTE TDDNR cell without CCA: 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex mode, NR cell with CCA: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
6,"E-UTRAN cell: LTE TDDNR cell without CCA: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode NR cell with CCA: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
NOTE 1: The UE is only required to be tested in one of the supported test configurations,
