Config,Description
1,"LTE FDD, With CCA: NR TDD, SSB SCS 30 kHz, data SCS 30 kHz, BW 40 MHz"
2,"LTE TDD, With CCA: NR TDD, SSB SCS 30 kHz, data SCS 30 kHz, BW 40 MHz"
NOTE 1:The UE is only required to be tested in one of the supported test configurations.NOTE 2: The UE supporting EN-DC with only NR band(s) with shared spectrum access is required to be tested.,
