Config,Description
1,"E-UTRAN cell: LTE FDDNR cell with CCA: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
2,"E-UTRAN cell: LTE TDDNR cell with CCA: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
NOTE 1:The UE is only required to be tested in one of the supported test configurations,
