Configuration,Description
1,"LTE FDD; NR: TDD, SSB SCS 30 kHz, data SCS 30 kHz, BW 40 MHz"
2,"LTE TDD; NR: TDD, SSB SCS 30 kHz, data SCS 30 kHz, BW 40 MHz"
NOTE:The UE is only required to pass in one of the supported test configurations above.,
