Parameter,Unit,Value,Comment
E-UTRA RF Channel Number,,1,One E-UTRA radio channel is used for this test
NR RF Channel Number,,2,One NR radio channel is used for this test
Active PCell,,Cell 1,PCell on RF channel number 1.
Active PSCell,,Cell 2,PSCell on RF channel number 2.
CP length,,Normal,
DRX,,OFF,For both PCell and PSCell
DL CCA model,,As specified in clause A.3.26.2.1,
UL CCA model,,As specified in clause A.3.26.2.2,
bwp-InactivityTimer,ms,200,
Cell-individual offset for cells on RF channel number 1,dB,0,Individual offset for cells on PCC.
Cell-individual offset for cells on RF channel number 2,dB,0,Individual offset for cells on PSCC.
Cell 2 timing offset to Cell 1,s,3,Synchronous EN-DC
T1,s,0.2,
T2,s,0.2,
T3,s,0.2,
