Config,Description
1,"LTE FDDWith CCA: NR 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
2,"LTE TDDWith CCA: NR 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
NOTE:The UE is only required to be tested in one of the supported test configurations,
