Configuration,Description
1,"LTE FDD, NR SCS 30 kHz, BW 40 MHz, TDD"
2,"LTE TDD, NR SCS 30 kHz, BW 40 MHz, TDD"
NOTE:The UE is only required to pass in one of the supported test configurations in FR1,
