ITU Region 1,-ETSI EN 302 296 [22] Digital Terrestrial TV Transmitters-ITU GE06 Agreement [25]
ITU Region 2,"-Title 47 CFR 73.622 [26] Digital television table of allotments, FCC, United States-ABNT NBR 15601 [27], Digital terrestrial television – Transmission system"
ITU Region 3,-GB20600-2006 [28]
