Frequency range,Maximum Level,Measurement Bandwidth,Note
2200MHz – 2345MHz,-45dBm,1 MHz,
2362.5MHz – 2365MHz,-25dBm,1 MHz,
2365MHz – 2367.5MHz,-40dBm,1 MHz,
2367.5MHz – 2370MHz,-42dBm,1 MHz,
2370MHz – 2395MHz,-45dBm,1 MHz,
