BS class,"Prated,c"
Wide Area BS,- (note)
Medium Range BS,<  + 38 dBm
Local Area BS,<  + 24 dBm
Home BS,<  + 20 dBm (for one transmit antenna port)<  + 17 dBm (for two transmit antenna ports)<  + 14dBm (for four transmit antenna ports)<  + 11dBm (for eight transmit antenna ports)
NOTE:There is no upper limit for the rated output power of the Wide Area Base Station.,
