E-UTRAchannel bandwidth [MHz],Wanted signal mean power [dBm],Interfering signal mean power [dBm],Interfering signal centre,Type of interfering signal
10,PREFSENS +1dB*,-21,"701.5, 707.5",5MHz E-UTRA signal
"Note*:PREFSENS depends on the channel bandwidth as specified in Table 7.2.1-4.Note**:Refer to TS 36.141, E-UTRA Test Mode 1.1 (E-TM1.1) The interfering signal shall be applied to the receiver antenna respectively.",,,,
