Number of TX antennas,Number of RX antennas,Cyclic Prefix,Propagation conditions andcorrelation matrix (Annex B),Channel Bandwidth / SNR [dB],,,,,
,,,,1.4 MHz,3 MHz,5 MHz,10 MHz,15 MHz,20 MHz
1,2,Normal,ETU 70* Low,-4.1,-4.4,-4.4,-4.6,-4.6,-4.4
Note*:Not applicable for Local Area BS and Home BS.,,,,,,,,,
