"Filter centre frequency, Ffilter",Declared emission level [dBm],Measurement bandwidth
1429.5 MHz ≤ Ffilter ≤ 1448.5 MHz,"PEM,B32,d",1 MHz
Ffilter =  1450.5 MHz,"PEM,B32,e",3 MHz
Ffilter  = 1493.5 MHz,"PEM,B32,e",3 MHz
1495.5 MHz ≤ Ffilter ≤ 1517.5 MHz,"PEM,B32,d",1 MHz
