Reference channel,A12-1,A12-2,A12-3,A12-4,A12-5,A12-6
Allocated resource blocks,6,15,25,50,75,100
DFT-OFDM Symbols per subframe,12,12,12,12,12,12
Modulation,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK
Code rate,0.36,0.36,0.36,0.36,0.36,0.36
MCS index,6,6,6,6,6,6
Payload size (bits),600,1544,2600,5160,7736,10296
Transport block CRC (bits),24,24,24,24,24,24
Code block CRC size (bits),0,0,0,0,24,24
Number of code blocks - C,1,1,1,1,2,2
Coded block size including 12bits trellis termination (bits),1884,4716,7884,15564,11724,15564
Total number of bits per sub-frame,1728,4320,7200,14400,21600,28800
Total symbols per sub-frame,864,2160,3600,7200,10800,14400
"NOTE 1:FRC A12-1, A12-2, A12-4, A12-6 are identical to A3-2, A3-3, A3-5, A3-7 respectively.",,,,,,
