NB-IoTchannel bandwidth [kHz],Reference measurement channel,Wanted signal mean power [dBm],Interfering signal mean power [dBm] / BWChannel,Type of interfering signal
200,FRC A15-1 in Annex A.15,-94.7,-91,AWGN
200,FRC A15-2 in Annex A.15,-100.6,-91,AWGN
