Number of TX antennas,Number of RX antennas,Propagation conditions andcorrelation matrix (Annex B),Number of allocated subcarriers,Subcarrier spacing,Repetition number,SNR [dB]
1,2,EPA 5 Low,1,15KHz,1,6.3
,,,,,16,-3.9
,,,,,64,-9.5
