NB-IoTchannel bandwidth [kHz],NB-IoTSub-carrier spacing[kHz],Reference measurement channel,"Reference sensitivity power level, PREFSENS [dBm]"
200,15,FRC A14-1 in Annex A.14,-122.3
200,3.75,FRC A14-2 in Annex A.14,-128.3
