Number of TX antennas,Number of RX antennas,Cyclic prefix,Propagation conditions and correlation matrix(Annex B),FRC(Annex A),Fraction of  maximum throughput,SNR[dB]
2,2,Normal,EPA 5Hz Low,A3-6,70%,3.7
,,,,A4-7,70%,19.4
,4,Normal,EPA 5Hz Low,A3-6,70%,-0.2
,,,,A4-7,70%,12.7
,8,Normal,EPA 5Hz Low,A3-6,70%,-3.8
,,,,A4-7,70%,8.3
