E-UTRAchannel bandwidth of the lowest/highest carrier received [MHz],Wanted signal mean power [dBm],Interfering signal mean power [dBm],Interfering RB centre frequency offset from the lower/upper Base Station RF Bandwidth edge or sub-block edge inside a sub-block gap [kHz],Type of interfering signal
5,PREFSENS + 14dB*,-36,±360****,CW
,,-36,±1060,"5 MHz E-UTRA signal, 1 RB**"
10,PREFSENS + 14dB*(***),-36,±325****,CW
,,-36,±1240,"5 MHz E-UTRA signal, 1 RB**"
15,PREFSENS + 14dB*(***),-36,±380****,CW
,,-36,±1600,"5MHz E-UTRA signal, 1 RB**"
20,PREFSENS + 14dB*(***),-36,±345****,CW
,,-36,±1780,"5MHz E-UTRA signal, 1 RB**"
"Note*:PREFSENS depends on the sub-carrier spacing as specified in Table 7.2.1-5c.Note**:Interfering signal consisting of one resource block positioned at the stated offset, the channel bandwidth of the interfering signal is located adjacently to the lower/upper Base Station RF Bandwidth edge.Note***:This requirement shall apply only for a FRC A1-3 mapped to the frequency range at the channel edge adjacent to the interfering signals.Note****:The frequency offset shall be adjusted to accommodate the IMD product to fall in the NB-IoT RB for NB-IoT guard band operation.Note*****:If a BS RF receiver fails the test of the requirement, the test shall be performed with the CW interfering signal frequency shifted away from the wanted signal by 180 kHz and the E-UTRA interfering signal frequency shifted away from the wanted signal by 360 kHz. If the BS RF receiver still fails the test after the frequency shift, then the BS RF receiver shall be deemed to fail the requirement.",,,,
