Channel bandwidth [MHz],Frequency range [MHz],"Frequency offset of measurement filter 3dB point, f","Frequency offset of measurement filter centre frequency, f_offset",Minimum requirement,Measurement bandwidth (Note 8)
"1.4, 3, 5",2400 - 2477.5,6 MHz  f < 83.5 MHz,6.5 MHz  f_offset < 83 MHz,-25 dBm,1 MHz
10,2400 - 2473.5,10 MHz  f < 83.5 MHz,10.5 MHz  f_offset < 83 MHz,-25 dBm,1 MHz
"1.4, 3, 5",2477.5 - 2478.5,5 MHz  f < 6 MHz,5.5 MHz,-13 dBm,1 MHz
10,2473.5 - 2478.5,5 MHz  f < 10 MHz,5.5 MHz  f_offset < 9.5 MHz,-13 dBm,1 MHz
All,2478.5 - 2483.5,0 MHz  f < 5 MHz,0.5 MHz  f_offset < 4.5 MHz,-10 dBm,1 MHz
"1.4, 3, 5",2495 - 2501,0 MHz  f < 6 MHz,0.5 MHz  f_offset < 5.5 MHz,-13 dBm,1 MHz
10,2495 - 2505,0 MHz  f < 10 MHz,0.5 MHz  f_offset < 9.5 MHz,-13 dBm,1 MHz
"1.4, 3, 5",2501 - 2690,6 MHz  f < 195 MHz,6.5 MHz  f_offset < 194.5 MHz,-25 dBm,1 MHz
10,2505 - 2690,10 MHz  f < 195 MHz,10.5 MHz  f_offset < 194.5 MHz,-25 dBm,1 MHz
