Number of TX antennas,Number of RX antennas,Cyclic prefix,Propagation conditions and correlation matrix(Annex B),FRC(Annex A),Fraction of  maximum throughput,SNR[dB]
2,2,Normal,EPA 5Hz Low,A3-5,70%,4.2
,,,,A4-6,70%,18.6
,4,Normal,EPA 5Hz Low,A3-5,70%,0.2
,,,,A4-6,70%,12.0
,8,Normal,EPA 5Hz Low,A3-5,70%,-3.3
,,,,A4-6,70%,7.9
