Channel bandwidth of the lowest/highest carrier received [MHz],Wanted signal mean power [dBm],Interfering signal mean power [dBm],Interfering RB centre frequency offset from the lower/upper Base Station RF Bandwidth edge or sub-block edge inside a sub-block gap [kHz],Type of interfering signal
0.2,PREFSENS + 6dB*,-52,±340,CW
,,-52,±880,"5MHz E-UTRA signal, 1 RB**"
"Note*:PREFSENS depends on the sub-carrier spacing as specified in Table 7.2.1-5.Note**:Interfering signal consisting of one resource block positioned at the stated offset, the channel bandwidth of the interfering signal is located adjacently to the lower/upper Base Station RF Bandwidth edge.Note***:If a BS RF receiver fails the test of the requirement, the test shall be performed with the CW interfering signal frequency shifted away from the wanted signal by 180 kHz and the E-UTRA interfering signal frequency shifted away from the wanted signal by 360 kHz. If the BS RF receiver still fails the test after the frequency shift, then the BS RF receiver shall be deemed to fail the requirement.",,,,
