Number of TX antennas,Number of RX antennas,Cyclic prefix,Propagation conditions and correlation matrix (Annex B),FRC(Annex A),Fraction of  maximum throughput,SNR[dB]
1,2,Normal,EPA 5Hz Low,A24-3,70%,12.2
,4,Normal,EPA 5Hz Low,A24-3,70%,8.8
