Number of TX antennas,Number of RX antennas,Repetition number,Propagation conditions and correlation matrix (Annex B),Frequency offset,SNR[dB],,
,,,,,Preamble format 0,Preamble format 1,Preamble format 2
1,2,8,AWGN,0,-2.1,-2.1,-1.0
,,,EPA1 Low,200 Hz,6.1,6.1,9.0
,,32,AWGN,0,-6.8,-6.8,-5.1
,,,EPA1 Low,200 Hz,0.5,0.5,2.2
