"Frequency offset of measurement filter 3dB point, f","Frequency offset of measurement filter centre frequency, f_offset",Minimum requirement (Note 1),Measurement bandwidth (Note 8)
0 MHz  f < 1 MHz,0.05 MHz  f_offset < 1.05 MHz,,100 kHz
"1 MHz  f < min(10 MHz, fmax)","1.05 MHz  f_offset < min(10.05 MHz, f_offsetmax)",,100 kHz
"10 MHz  f < min(20 MHz, fmax)","10.05 MHz  f_offset < min(20.05 MHz, f_offsetmax)",,100 kHz
"20 MHz  f < min(170 MHz, fmax)","20.05 MHz  f_offset < min(170.05 MHz, f_offsetmax)","Max(Prated,c - 62.6dB, -40dBm)",100 kHz
"170 MHz  f < min(206 MHz, fmax)","170.05 MHz  f_offset < min(206.05 MHz, f_offsetmax)","Max(Prated,c - 64.6dB, -40dBm)",100 kHz
206 MHz  f  fmax,206.05 MHz  f_offset < f_offsetmax,"Max(Prated,c - 69.6dB, -40dBm)",100 kHz
"NOTE 1:For a BS supporting non-contiguous spectrum operation within any operating band, the minimum requirement within sub-block gaps is calculated as a cumulative sum of contributions from adjacent sub blocks on each side of the sub block gap. Exception is f ≥ 20 MHz from both adjacent sub blocks on each side of the sub-block gap, where the minimum requirement within sub-block gaps shall be Max(Prated,c - 62.6dB, -40 dBm)/100kHz.",,,
