Number of TX antennas,Number of RX antennas,Cyclic prefix,Propagation conditions and correlation matrix(Annex B),FRC(Annex A),Fraction of  maximum throughput,SNR[dB]
2,2,Normal,EPA 5Hz Low,A3-2,70%,4.6
,,,,A4-3,70%,17.70
,4,Normal,EPA 5Hz Low,A3-2,70%,-0.1
,,,,A4-3,70%,11.9
,8,Normal,EPA 5Hz Low,A3-2,70%,-3.0
,,,,A4-3,70%,7.5
