Number of TX antennas,Number of RX antennas,Cyclic Prefix,Propagation conditionsandcorrelation matrix (Annex B),Channel Bandwidth / SNR [dB],,,,,
,,,,1.4 MHz,3 MHz,5 MHz,10 MHz,15 MHz,20 MHz
2,2,Normal,EPA 5 Low,-4.6,-4.9,-6.4,-6.5,-6.5,-6.7
,,,EVA 70 Low,-5.8,-5.9,-6.4,-5.9,-6.4,-6.4
,4,Normal,EPA 5 Low,-8.5,-8.5,-9.3,-9.5,-9.5,-9.5
,,,EVA 70 Low,-9.0,-9.2,-9.3,-9.3,-9.4,-9.5
2,8,Normal,EPA 5 Low,-11.4,-11.5,-11.9,-12.0,-11.9,-12.0
,,,EVA 70 Low,-11.7,-11.8,-11.8,-11.8,-11.8,-11.8
