Reference channel,A11-1
Allocated resource blocks,3
DFT-OFDM Symbols per subframe,12
Modulation,QPSK
Code rate,11/27*
Payload size (bits),328
Transport block CRC (bits),24
Code block CRC size (bits),0
Number of code blocks - C,1
Coded block size including 12bits trellis termination (bits),1068
Total number of bits per sub-frame,864
Total symbols per sub-frame,432
Note *: code rate per TTI,
