Frequency range,Maximum Level,Measurement Bandwidth,Note
3530MHz – 3720MHz,-25dBm,1 MHz,Applicable 10MHz from the assigned channel edge
3100MHz – 3530MHz3720MHz – 4200MHz,-40dBm,1 MHz,
