Number of TX antennas,Number of RX antennas,Subcarrier spacing,Number of allocated subcarriers,Propagation conditions and correlation matrix (Annex B),FRC(Annex A),Repetition number,Fraction of  maximum throughput,SNR[dB]
1,2,3.75KHz,1,ETU 1Hz Low,A16-1,1,70%,-1.9
,,,,,,16,70%,-9.2
,,,,,,64,70%,-12.2
