Number of TX antennas,Number of RX antennas,Propagation conditions andcorrelation matrix (Annex B),Number of allocated subcarriers,Subcarrier spacing,Repetition number,SNR [dB]
1,2,EPA 5 Low,1,3.75KHz,1,7.0
,,,,,16,-5.3
,,,,,64,-10.9
