Frequency range,Maximum Level,Measurement Bandwidth,Note
2505 MHz – 2535 MHz,-42 dBm,1 MHz,
NOTE:This requirement applies for 10 or 20 MHz E-UTRA carriers allocated within 2545-2645 MHz.,,,
