,Wanted signal mean power [dBm],Interfering signal mean power [dBm],Type of interfering signal
Wide Area BS,PREFSENS + 6dB (Note 1),-49,See Table 7.5.1-2
Medium Range BS,PREFSENS + 6dB (Note 4),-44,See Table 7.5.1-2
Local Area BS,PREFSENS + 6dB (Note 2),-41,See Table 7.5.1-2
Home BS,PREFSENS + 14dB (Note 3),-33,See Table 7.5.1-2
Note 1:PREFSENS depends on the channel bandwidth as specified in Table 7.2.1-1.Note 2:PREFSENS depends on the channel bandwidth as specified in Table 7.2.1-2Note 3:PREFSENS depends on the channel bandwidth as specified in Table 7.2.1-3.Note 4:PREFSENS depends on the channel bandwidth as specified in Table 7.2.1-4.,,,
