Modulation scheme for PDSCH or sPDSCH,Required EVM [%]
QPSK,17.5 %
16QAM,12.5 %
64QAM,8 %
256QAM,3.5 %
1024QAM,2.5 %
NOTE:For LTE based 5G terrestrial broadcast base stations the 1024QAM modulation scheme is not applicable.,
