Operating Band,Frequency range,Maximum Level,Measurement Bandwidth,Note
13,763 - 775 MHz,-46 dBm,6.25 kHz,
13,793 - 805 MHz,-46 dBm,6.25 kHz,
14,769 - 775 MHz,-46 dBm,6.25 kHz,
14,799 - 805 MHz,-46 dBm,6.25 kHz,
103,763 - 775 MHz,-46 dBm,6.25 kHz,
103,793 - 805 MHz,-46 dBm,6.25 kHz,
