"Frequency offset of measurement filter 3dB point, f","Frequency offset of measurement filter centre frequency, f_offset","Minimum requirement (Note 1, 2)",Measurement bandwidth (Note 8)
0 MHz  f < 0.05 MHz,0.015 MHz  f_offset < 0.065 MHz,,30 kHz
0.05 MHz  f < 0.16 MHz,0.065 MHz  f_offset < 0.175 MHz,,30 kHz
0.16 MHz  f < 5 MHz(Note 8),0.175 MHz  f_offset < 5.05 MHz,,100 kHz
"5 MHz  f < min(10 MHz, Δfmax)","5.05 MHz  f_offset < min(10.05 MHz, f_offsetmax)",-41 dBm,100 kHz
10 MHz  f  fmax,10.05 MHz  f_offset < f_offsetmax,-41 dBm (Note 10),100 kHz
"NOTE 1:The limits in this table only apply for operation with a standalone NB-IoT carrier adjacent to the Base Station RF Bandwidth edge.NOTE 2:In case the carrier adjacent to the RF bandwidth edge is a standalone NB-IoT carrier, the value of X = PNB-IoTcarrier – 20, where PNB-IoTcarrier is the power level of the standalone NB-IoT carrier adjacent to the RF bandwidth edge. In other cases, X = 0.",,,
