Number of TX antennas,Number of RX antennas,Subcarrier spacing,Number of allocated subcarriers,Propagation conditions and correlation matrix (Annex B),FRC(Annex A),Repetition number,Fraction of  maximum throughput,SNR[dB]
1,2,15KHz,1,ETU 1Hz Low,A16-2,1,70%,-2.1
,,,,,,16,70%,-8.8
,,,,,,64,70%,-12.6
