Number of TX antennas,Number of RX antennas,Subcarrier spacing,Number of allocated subcarriers,Propagation conditions and correlation matrix (Annex B),FRC(Annex A),Repetition number,Fraction of  maximum throughput,SNR[dB]
1,2,15KHz,3,ETU 1Hz Low,A16-3,2,70%,-3.0
,,,,,,16,70%,-8.1
,,,,,,64,70%,-11.4
,,,6,ETU 1Hz Low,A16-4,2,70%,-0.6
,,,,,,16,70%,-6.8
,,,,,,64,70%,-10.5
,,,12,ETU 1Hz Low,A16-5,2,70%,-0.7
,,,,,,16,70%,-6.4
,,,,,,64,70%,-10.1
