Number of TX antennas,Number of RX antennas,Cyclic Prefix,Propagation conditions and correlation matrix (Annex B),Channel Bandwidth / SNR [dB],,,,,
,,,,1.4 MHz,3 MHz,5 MHz,10 MHz,15 MHz,20 MHz
1,2,Normal,EVA 5* Low,-3.7,-4.0,-4.4,-4.0,-4.2,-4.2
,,,ETU 70** Low,-3.7,-4.0,-3.7,-4.1,-3.9,-4.1
2,2,Normal,EVA 5 Low,-5.3,-5.2,-5.5,-5.4,-5.3,-5.5
Note*:Not applicable for Wide Area BS and Medium Range BS.Note**:Not applicable for Local Area BS and Home BS.,,,,,,,,,
