Number of Tx antennas,Number of RX antennas,Cyclic Prefix,Propagation Conditions and correlation matrix (Annex B),Channel Bandwidth / SNR [dB],,,,,
,,,,1.4MHz,3MHz,5MHz,10 MHz,15MHz,20MHz
1,2,Normal,EPA 5 Low,-,-,-,-1.3,-1.2,-1.2
,,,EVA70 Low,-,-,-,-0.8,-0.9,-0.9
,4,Normal,EPA 5 Low,-,-,-,-5.3,-5.3,-5.4
,,,EVA70 Low,-,-,-,-5.0,-5.1,-5.1
,8,Normal,EPA 5 Low,-,-,-,-8.8,-8.8,-8.9
,,,EVA70 Low,-,-,-,-8.7,-8.8,-8.7
