Channel bandwidth of NB-IoT lowest/highest carrier transmitted BWChannel [kHz],BS adjacent channel centre frequency offset below the lowest or above the highest carrier centre frequency transmitted,Assumed adjacent channel carrier (informative),Filter on the adjacent channel frequency and corresponding filter bandwidth,ACLR limit
200,300 kHz,Standalone NB-IoT,Square (180 kHz),40 dB
,500 kHz,Standalone NB-IoT,Square (180 kHz),50 dB
