Parameter,Value
Number of TTIs for a TTI bundle,4
RV sequence for 4 TTIs within a TTI bundle,"0, 2, 3, 1"
HARQ round trip time,12 ms
Maximum number of HARQ transmissions for a TTI bundle,5
