Number of TX antennas,Number of RX antennas,Cyclic Prefix,Propagation conditions andcorrelation matrix (Annex B),Repetitions,Channel Bandwidth / SNR [dB],,,,
,,,,,3 MHz,5 MHz,10 MHz,15 MHz,20 MHz
1,2,normal,EPA5 Low,4,-5.2,-5.5,-5.5,-5.6,-5.5
,,,,8,-9.2,-11.0,-10.9,-11.1,-11.3
,,,,32,-13.7,-14.8,-15.1,-15.1,-15.1
"Note 1:Frequency Hopping Intervals: 4 (FDD); 10 (TDD).Note 2:Guard period shall be created according to TS36.211, 5.2.5 [12]",,,,,,,,,
