PUCCH format,Resource indices for two antenna ports
Format 1a,","
Format 2,","
"NOTE1:The following parameters shall be used , . For PUCCH format 1a,  is assumed.NOTE2:The signals transmitted on two antenna ports are in the same PUCCH resource block with different resource indices as presented above.",
